1 2.119280e+08 -5.000000 6.596971e+03 8.794339e+00 5.797163e-01 3.125647e-02 1.914327e-11 
2 2.008370e+08 -4.725000 6.565835e+03 1.656545e+01 7.660630e-01 2.660636e-02 3.699332e-11 
3 1.897460e+08 -4.450000 6.480852e+03 3.376185e+01 9.410255e-01 2.293525e-02 7.785571e-11 
4 1.786550e+08 -4.175000 6.354659e+03 7.133862e+01 1.068071e+00 2.119795e-02 1.700021e-10 
5 1.675640e+08 -3.900000 6.199894e+03 1.479211e+02 1.111390e+00 2.073986e-02 3.640352e-10 
6 1.564730e+08 -3.625000 6.029194e+03 2.953617e+02 1.075746e+00 2.069828e-02 7.503831e-10 
7 1.453820e+08 -3.350000 5.855198e+03 5.736460e+02 1.002803e+00 2.082379e-02 1.503539e-09 
8 1.342910e+08 -3.075000 5.690094e+03 1.094677e+03 9.397149e-01 2.136622e-02 2.955046e-09 
9 1.232000e+08 -2.800000 5.487594e+03 2.051199e+03 8.062498e-01 2.103855e-02 5.744101e-09 
10 1.121090e+08 -2.525000 5.234218e+03 3.881015e+03 6.794571e-01 2.131473e-02 1.139650e-08 
11 1.010180e+08 -2.250000 4.964330e+03 7.283083e+03 7.535529e-01 2.821221e-02 2.254881e-08 
12 8.992660e+07 -1.975000 4.712289e+03 1.212465e+04 9.639514e-01 4.315006e-02 3.953776e-08 
13 7.883560e+07 -1.700000 4.512459e+03 1.808733e+04 1.101327e+00 5.828538e-02 6.155762e-08 
14 6.774460e+07 -1.425000 4.399200e+03 2.640235e+04 1.255388e+00 7.344168e-02 9.206455e-08 
15 5.665350e+07 -1.150000 4.441137e+03 3.883262e+04 1.759752e+00 9.769480e-02 1.340310e-07 
16 4.556250e+07 -0.875000 4.783169e+03 5.643419e+04 3.574312e+00 1.426350e-01 1.810677e-07 
17 3.447150e+07 -0.600000 5.333711e+03 7.914313e+04 7.660522e+00 1.937660e-01 2.279256e-07 
18 2.338040e+07 -0.325000 5.972048e+03 1.106312e+05 2.388798e+01 3.846558e-01 2.846330e-07 
19 1.228940e+07 -0.050000 6.577462e+03 1.405091e+05 8.378245e+01 9.356548e-01 3.281571e-07 
20 1.198360e+06 0.225000 7.029236e+03 1.636461e+05 2.018402e+02 1.771494e+00 3.574231e-07 
21 -9.892670e+06 0.500000 7.206653e+03 1.866649e+05 2.902024e+02 2.331658e+00 3.975374e-07 
