   124       1.         5000.=WAVLEN FOR TAU & KAPPA    1=RAY NUMBER   Fontenla: model P, interpolated, plage model
  -4.353  6.82636E+07   5383.7 4.983E+02 2.057E-01 4.885E-03 8.345E-10 0.0 0.0E+00  0.00E+00
  -4.302  6.70965E+07   5321.0 5.461E+02 1.937E-01 4.781E-03 1.034E-09 0.0 0.0E+00  0.00E+00
  -4.250  6.60170E+07   5266.4 5.953E+02 1.854E-01 4.737E-03 1.253E-09 0.0 0.0E+00  0.00E+00
  -4.199  6.50000E+07   5220.0 6.464E+02 1.802E-01 4.746E-03 1.486E-09 0.0 0.0E+00  0.00E+00
  -4.134  6.37670E+07   5172.4 7.142E+02 1.773E-01 4.821E-03 1.794E-09 0.0 0.0E+00  0.00E+00
  -4.068  6.25869E+07   5135.0 7.859E+02 1.778E-01 4.955E-03 2.120E-09 0.0 0.0E+00  0.00E+00
  -4.003  6.14527E+07   5104.7 8.618E+02 1.807E-01 5.139E-03 2.468E-09 0.0 0.0E+00  0.00E+00
  -3.938  6.03576E+07   5078.4 9.424E+02 1.852E-01 5.361E-03 2.842E-09 0.0 0.0E+00  0.00E+00
  -3.866  5.91960E+07   5050.9 1.037E+03 1.910E-01 5.635E-03 3.288E-09 0.0 0.0E+00  0.00E+00
  -3.792  5.80183E+07   5023.0 1.142E+03 1.980E-01 5.956E-03 3.794E-09 0.0 0.0E+00  0.00E+00
  -3.717  5.68690E+07   4996.8 1.256E+03 2.063E-01 6.319E-03 4.339E-09 0.0 0.0E+00  0.00E+00
  -3.643  5.57420E+07   4973.4 1.380E+03 2.162E-01 6.730E-03 4.920E-09 0.0 0.0E+00  0.00E+00
  -3.567  5.46083E+07   4953.7 1.518E+03 2.284E-01 7.207E-03 5.549E-09 0.0 0.0E+00  0.00E+00
  -3.487  5.34415E+07   4937.8 1.674E+03 2.436E-01 7.770E-03 6.242E-09 0.0 0.0E+00  0.00E+00
  -3.408  5.22857E+07   4925.9 1.845E+03 2.613E-01 8.402E-03 6.985E-09 0.0 0.0E+00  0.00E+00
  -3.329  5.11391E+07   4917.0 2.032E+03 2.814E-01 9.103E-03 7.787E-09 0.0 0.0E+00  0.00E+00
  -3.250  5.00000E+07   4910.0 2.237E+03 3.037E-01 9.875E-03 8.659E-09 0.0 0.0E+00  0.00E+00
  -3.169  4.88434E+07   4904.2 2.466E+03 3.288E-01 1.074E-02 9.630E-09 0.0 0.0E+00  0.00E+00
  -3.088  4.76903E+07   4900.1 2.717E+03 3.567E-01 1.168E-02 1.069E-08 0.0 0.0E+00  0.00E+00
