 88    1.                         HSRASP1
 -1.00 1.38E+07  5160.0 4.562E+04 3.95E+00 1.10E-01 1.38E-07 0.0 8.E+04 0.0  0.0
 -0.90 1.23E+07  5240.0 5.172E+04 4.72E+00 1.24E-01 1.54E-07 0.0 8.E+04 0.0  0.0
 -0.80 1.08E+07  5330.0 5.854E+04 5.71E+00 1.40E-01 1.71E-07 0.0 8.E+04 0.0  0.0
 -0.70 9.26E+06  5430.0 6.608E+04 7.04E+00 1.60E-01 1.90E-07 0.0 8.E+04 0.0  0.0
 -0.60 7.77E+06  5540.0 7.430E+04 8.87E+00 1.87E-01 2.09E-07 0.0 8.E+04 0.0  0.0
 -0.50 6.31E+06  5650.0 8.311E+04 1.13E+01 2.21E-01 2.29E-07 0.0 8.E+04 0.0  0.0
 -0.40 4.89E+06  5765.0 9.244E+04 1.46E+01 2.64E-01 2.50E-07 0.0 8.E+04 0.0  0.0
 -0.30 3.57E+06  5890.0 1.021E+05 1.93E+01 3.23E-01 2.70E-07 0.0 8.E+04 0.0  0.0
 -0.20 2.26E+06  6035.0 1.120E+05 2.65E+01 4.07E-01 2.89E-07 0.0 8.E+04 0.0  0.0
 -0.10 1.08E+06  6200.0 1.217E+05 3.79E+01 5.27E-01 3.06E-07 0.0 8.E+04 0.0  0.0
 0.00  0.00E+00  6390.0 1.310E+05 5.64E+01 7.06E-01 3.19E-07 0.0 8.E+04 0.0  0.0
 0.10 -9.59E+05  6610.0 1.395E+05 8.80E+01 9.78E-01 3.29E-07 0.0 8.E+04 0.0  0.0
 0.20 -1.80E+06  6860.0 1.472E+05 1.42E+02 1.39E+00 3.34E-07 0.0 8.E+04 0.0  0.0
 0.30 -2.83E+06  7140.0 1.540E+05 2.35E+02 2.02E+00 3.35E-07 0.0 8.E+04 0.0  0.0
 0.40 -3.44E+06  7501.8 1.596E+05 4.26E+02 3.16E+00 3.29E-07 0.0 8.E+04 0.0  0.0
 0.50 -3.96E+06  7808.2 1.642E+05 6.79E+02 4.54E+00 3.25E-07 0.0 8.E+04 0.0  0.0
 0.60 -4.43E+06  8056.3 1.684E+05 9.71E+02 6.04E+00 3.23E-07 0.0 8.E+04 0.0  0.0
 0.70 -4.90E+06  8265.3 1.725E+05 1.30E+03 7.65E+00 3.22E-07 0.0 8.E+04 0.0  0.0
 0.80 -5.37E+06  8447.0 1.767E+05 1.65E+03 9.38E+00 3.22E-07 0.0 8.E+04 0.0  0.0
 0.90 -5.86E+06  8611.4 1.810E+05 2.04E+03 1.13E+01 3.23E-07 0.0 8.E+04 0.0  0.0
 1.00 -6.38E+06  8763.7 1.856E+05 2.46E+03 1.33E+01 3.25E-07 0.0 8.E+04 0.0  0.0
 1.10 -6.93E+06  8908.4 1.906E+05 2.94E+03 1.56E+01 3.27E-07 0.0 8.E+04 0.0  0.0
 1.20 -7.52E+06  9046.3 1.958E+05 3.47E+03 1.82E+01 3.30E-07 0.0 8.E+04 0.0  0.0
 1.30 -8.15E+06  9180.4 2.016E+05 4.06E+03 2.11E+01 3.34E-07 0.0 8.E+04 0.0  0.0
 1.40 -8.83E+06  9316.3 2.079E+05 4.72E+03 2.44E+01 3.39E-07 0.0 8.E+04 0.0  0.0
 1.50 -9.58E+06  9452.5 2.148E+05 5.47E+03 2.81E+01 3.44E-07 0.0 8.E+04 0.0  0.0
 1.60 -1.04E+07  9576.6 2.223E+05 6.28E+03 3.21E+01 3.50E-07 0.0 8.E+04 0.0  0.0
 1.70 -1.12E+07  9691.0 2.302E+05 7.18E+03 3.67E+01 3.57E-07 0.0 8.E+04 0.0  0.0
 1.80 -1.21E+07  9826.6 2.395E+05 8.24E+03 4.21E+01 3.66E-07 0.0 8.E+04 0.0  0.0
 1.90 -1.31E+07  9947.0 2.493E+05 9.38E+03 4.80E+01 3.75E-07 0.0 8.E+04 0.0  0.0
 2.00 -1.41E+07 10059.0 2.600E+05 1.07E+04 5.45E+01 3.85E-07 0.0 8.E+04 0.0  0.0
 2.10 -1.53E+07 10186.0 2.722E+05 1.21E+04 6.21E+01 3.97E-07 0.0 8.E+04 0.0  0.0
 2.20 -1.64E+07 10299.0 2.853E+05 1.37E+04 7.05E+01 4.10E-07 0.0 8.E+04 0.0  0.0
 2.30 -1.78E+07 10424.0 3.003E+05 1.55E+04 8.01E+01 4.24E-07 0.0 8.E+04 0.0  0.0
 2.40 -1.91E+07 10546.0 3.167E+05 1.76E+04 9.11E+01 4.40E-07 0.0 8.E+04 0.0  0.0
