Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.89     0.00      287     0.00     0.00  atom::rtinit()
  0.00      3.89     0.00      253     0.00     0.00  del_ft4dim(double****, int, int, int, int, int, int, int, int)
  0.00      3.89     0.00      253     0.00     0.00  ft4dim(int, int, int, int, int, int, int, int)
  0.00      3.89     0.00      247     0.00     0.00  atmosphere::project(double***, double***, double***, double, double, int, int, int, int, int, int)
  0.00      3.89     0.00      247     0.00     0.00  atmosphere::transform(double***, double***, double***, double, double, int, int, int, int, int, int)
  0.00      3.89     0.00      223     0.00     0.00  unpack(unsigned char*, signed char&)
  0.00      3.89     0.00      189     0.00     0.00  unpack(unsigned char*, double&, unsigned char)
  0.00      3.89     0.00      185     0.00     0.00  unpack(unsigned char*, float*, int, int, unsigned char)
  0.00      3.89     0.00      184     0.00     0.00  unpack(unsigned char*, unsigned char*, int, int)
  0.00      3.89     0.00      142     0.00     0.00  unpack(unsigned char*, double*, int, int, unsigned char)
  0.00      3.89     0.00       74     0.00     0.00  unpack(unsigned char*, int&, unsigned char)
  0.00      3.89     0.00       71     0.00     0.00  ui32t2dim(int, int, int, int)
  0.00      3.89     0.00       67     0.00     0.00  unpack(unsigned char*, unsigned char&)
  0.00      3.89     0.00       67     0.00     0.00  unpack(unsigned char*, unsigned long&, unsigned char)
  0.00      3.89     0.00       50     0.00     0.00  unpack(unsigned char*, char*&)
  0.00      3.89     0.00       41     0.00     0.00  atmosphere::newpops(double***, double***, double***, double*, int)
  0.00      3.89     0.00       37     0.00     0.00  bf_new(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00       36     0.00     0.00  del_ui32t2dim(unsigned int**, int, int, int, int)
  0.00      3.89     0.00       35     0.00     0.00  roman(int)
  0.00      3.89     0.00       35     0.00     0.00  pf_new(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00       35     0.00     0.00  newtrans(unsigned char, unsigned short*)
  0.00      3.89     0.00       20     0.00     0.00  atmol_new(unsigned char*, int&, unsigned char, atmol**, int, io_class&)
  0.00      3.89     0.00       20     0.00     0.00  atmol::set_parent_atmosphere(atmosphere*)
  0.00      3.89     0.00       20     0.00     0.00  atmol::atmol(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00       19     0.00     0.00  trav::unpack(unsigned char*, unsigned char, io_class&)
  0.00      3.89     0.00       14     0.00     0.00  unpack(unsigned char*, unsigned short*, int, int, unsigned char)
  0.00      3.89     0.00       13     0.00     0.00  eqc_new(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00       13     0.00     0.00  mol_new(unsigned int, unsigned char*, int&, unsigned char, atmol**, int, io_class&)
  0.00      3.89     0.00       13     0.00     0.00  mol::unpack(unsigned char*, unsigned char, atmol**, int, io_class&)
  0.00      3.89     0.00       13     0.00     0.00  atmol::prof_setup()
  0.00      3.89     0.00       13     0.00     0.00  atmol::lte(double***, double***)
  0.00      3.89     0.00       13     0.00     0.00  atmol::info()
  0.00      3.89     0.00       13     0.00     0.00  atmol::rtclean(int, int, int, int, int, int, int, int)
  0.00      3.89     0.00       13     0.00     0.00  atmol::rtsetup(double*, double*, int, double*, int, int, int, int, int, int, int)
  0.00      3.89     0.00       13     0.00     0.00  atmol::getlambda(double*, int&, double, double, double)
  0.00      3.89     0.00       12     0.00     0.00  mol::popsetup(int, int, int, int, int, int)
  0.00      3.89     0.00       12     0.00     0.00  atmol::popclean(int, int, int, int, int, int)
  0.00      3.89     0.00       11     0.00     0.00  unpack(unsigned char*, double***, int, int, int, int, int, int, unsigned char)
  0.00      3.89     0.00        8     0.00     0.00  parse(char*)
  0.00      3.89     0.00        8     0.00     0.00  unpack(unsigned char*, unsigned short&, unsigned char)
  0.00      3.89     0.00        8     0.00     0.00  fdset::rem(int)
  0.00      3.89     0.00        7     0.00     0.00  sort(double*, int)
  0.00      3.89     0.00        7     0.00     0.00  atom_new(unsigned long, unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        7     0.00     0.00  atom::prof_clear()
  0.00      3.89     0.00        7     0.00     0.00  atom::prof_setup()
